,,,,,,,,,,,
Data_Type,Sample_name,Sample_id,Genotype (RIL_ID),Generation,Lineage,Sublineage,File_Name_Processed,Raw_File_Name_R1,Raw_File_Name_R2,Raw_File2_Name_R1,Raw_File2_Name_R2
WGBS,Ler_G02_L01_3,Ler_G02_L01_3_S85_L002,Ler (Parental),2,1,3,methylome_Ler_G02_L01_3_All.txt,Ler_G02_L01_3_S85_L002_1.fastq.gz,Ler_G02_L01_3_S85_L002_2.fastq.gz,,
WGBS,Ler_G02_L01_4,Ler_G02_L01_4_S51_L001,Ler (Parental),2,1,4,methylome_Ler_G02_L01_4_All.txt,Ler_G02_L01_4_S51_L001_1.fastq.gz,Ler_G02_L01_4_S51_L001_2.fastq.gz,,
WGBS,Ler_G02_L02_4,Ler_G02_L02_4_S62_L001,Ler (Parental),2,2,4,methylome_Ler_G02_L02_4_All.txt,Ler_G02_L02_4_S62_L001_1.fastq.gz,Ler_G02_L02_4_S62_L001_2.fastq.gz,,
WGBS,Ler_G09_L01_1,Ler_G09_L01_1_S115_L002,Ler (Parental),9,1,1,methylome_Ler_G09_L01_1_All.txt,Ler_G09_L01_1_S115_L002_1.fastq.gz,Ler_G09_L01_1_S115_L002_2.fastq.gz,,
WGBS,Ler_G09_L01_2,Ler_G09_L01_2_S133_L002,Ler (Parental),9,1,2,methylome_Ler_G09_L01_2_All.txt,Ler_G09_L01_2_S133_L002_1.fastq.gz,Ler_G09_L01_2_S133_L002_2.fastq.gz,,
WGBS,Ler_G09_L02_1,Ler_G09_L02_1_S63_L001,Ler (Parental),9,2,1,methylome_Ler_G09_L02_1_All.txt,Ler_G09_L02_1_S63_L001_1.fastq.gz,Ler_G09_L02_1_S63_L001_2.fastq.gz,,
WGBS,Ler_G09_L02_2,Ler_G09_L02_2_S118_L002,Ler (Parental),9,2,2,methylome_Ler_G09_L02_2_All.txt,Ler_G09_L02_2_S118_L002_1.fastq.gz,Ler_G09_L02_2_S118_L002_2.fastq.gz,,
WGBS,Cvi_G02_L01_4,Cvi_G02_L01_4_S91_L003,Cvi (Parental),2,1,4,methylome_Cvi_G02_L01_4_All.txt,Cvi_G02_L01_4_S91_L003_1.fastq.gz,Cvi_G02_L01_4_S91_L003_2.fastq.gz,,
WGBS,Cvi_G02_L02_3,Cvi_G02_L02_3_S73_L002,Cvi (Parental),2,2,3,methylome_Cvi_G02_L02_3_All.txt,Cvi_G02_L02_3_S73_L002_1.fastq.gz,Cvi_G02_L02_3_S73_L002_2.fastq.gz,,
WGBS,Cvi_G02_L02_4,Cvi_G02_L02_4_S82_L002,Cvi (Parental),2,2,4,methylome_Cvi_G02_L02_4_All.txt,Cvi_G02_L02_4_S82_L002_1.fastq.gz,Cvi_G02_L02_4_S82_L002_2.fastq.gz,,
WGBS,Cvi_G09_L01_2,Cvi_G09_L01_2_S83_L002,Cvi (Parental),9,1,2,methylome_Cvi_G09_L01_2_All.txt,Cvi_G09_L01_2_S83_L002_1.fastq.gz,Cvi_G09_L01_2_S83_L002_2.fastq.gz,,
WGBS,RIL4_G02_L01_3,RIL4_G02_L01_3_S209_L004,RIL4,2,1,3,methylome_RIL4_G02_L01_3_All.txt,RIL4_G02_L01_3_S209_L004_1.fastq.gz,RIL4_G02_L01_3_S209_L004_2.fastq.gz,,
