line	Vim4	mean_meth_lvl	peak_genotype
RIL101	9.349767	0.358198333333333	peakLer
RIL108	9.463646	0.218748	peakCvi
RIL11	9.707137	0.18741625	peakCvi
RIL112	9.162375	0.359208333333333	peakLer
RIL116	9.326108	0.159738	peakCvi
RIL120	9.214491	0.194443916666667	peakCvi
RIL125	9.307324	0.295563166666667	peakLer
RIL126	9.109449	0.3676764	peakLer
RIL127	9.2341	0.1410479375	peakLer
RIL13	9.172469	0.331437642857143	peakLer
RIL132	9.376268	0.328425	peakLer
RIL133	9.272394	0.303323142857143	peakLer
RIL135	9.271444	0.2718916	peakLer
RIL136	9.432912	0.173794	peakCvi
RIL140	9.326617	0.180277125	peakLer
RIL142	9.333646	0.29828	peakLer
RIL143	9.476123	0.3460348	peakLer
RIL146	9.179112	0.292346428571429	peakLer
RIL147	9.442708	0.24129775	peakCvi
RIL149	9.25643	0.338325	peakLer
RIL15	9.653163	0.1824082	peakCvi
RIL150	9.157964	0.240514	peakLer
RIL151	9.245871	0.13133575	peakLer
RIL153	9.103437	0.331655071428571	peakLer
RIL155	9.41049	0.278976583333333	peakCvi
RIL158	9.291433	0.357181666666667	peakLer
RIL162	9.230587	0.179719166666667	peakCvi
RIL163	9.184782	0.3320708	peakLer
RIL165	9.392401	0.325103857142857	peakLer
RIL166	9.016623	0.313391916666667	peakLer
RIL167	9.155854	0.252060416666667	peakLer
RIL168	9.2348	0.1986381	peakCvi
RIL170	9.150888	0.339466	peakLer
RIL172	9.245652	0.3480386	peakLer
RIL173	9.366199	0.306569285714286	peakLer
RIL175	9.163957	0.222609	peakCvi
RIL18	9.299393	0.318687583333333	peakLer
RIL180	9.202025	0.351926666666667	peakLer
RIL182	9.408518	0.328677	peakLer
RIL19	9.023361	0.339469166666667	peakLer
RIL190	9.37784	0.325710571428571	peakLer
RIL191	9.434014	0.3179675	peakLer
RIL192	9.133831	0.3099700625	peakLer
RIL21	9.17636	0.1762498	peakCvi
RIL22	9.467332	0.288533	peakLer
RIL23	9.235574	0.324185375	peakLer
RIL25	9.589092	0.329335	peakLer
RIL29	9.219726	0.367223666666667	peakLer
RIL36	9.195192	0.286145	peakLer
RIL37	9.41246	0.152139166666667	peakCvi
RIL4	9.49934	0.185393785714286	peakCvi
RIL50	9.385036	0.1795391	peakCvi
RIL54	9.161561	0.2979454	peakLer
RIL55	9.247944	0.178480083333333	peakCvi
RIL58	9.21878	0.33319375	peakLer
RIL59	9.252445	0.320312142857143	peakLer
RIL6	9.274103	0.321998333333333	peakCvi
RIL61	9.082187	0.347876	peakLer
RIL63	9.313243	0.1783925	peakCvi
RIL65	9.004998	0.32247925	peakLer
RIL68	9.292661	0.3060870625	peakLer
RIL7	9.511476	0.20943	peakCvi
RIL70	9.014253	0.259087	peakLer
RIL71	9.245105	0.312263916666667	peakLer
RIL72	9.320635	0.193452	peakCvi
