Sample_ID	U_proportion	I_proportion	Observed_methy_level	line
Cvi_G02_L01_4	0.816045	0.0108623	0.178523	Cvi
Cvi_G02_L02_3	0.840157	0.00910102	0.155292	Cvi
Cvi_G02_L02_4	0.839844	0.00900172	0.155655	Cvi
Cvi_G09_L01_2	0.818567	0.0126781	0.175094	Cvi
Ler_G02_L01_3	0.776958	0.0156581	0.215213	Ler
Ler_G02_L01_4	0.78303	0.0140643	0.209938	Ler
Ler_G02_L02_4	0.786849	0.0150864	0.205608	Ler
Ler_G09_L01_1	0.798568	0.0140246	0.19442	Ler
Ler_G09_L01_2	0.783245	0.0139479	0.209782	Ler
Ler_G09_L02_1	0.847311	0.0078885	0.148744	Ler
Ler_G09_L02_2	0.785838	0.0132404	0.207542	Ler
RIL101_G02_L01_3	0.778927	0.0161755	0.212985	RIL101
RIL101_G02_L01_4	0.775321	0.0168229	0.216267	RIL101
RIL101_G02_L02_3	0.78113	0.0149654	0.211387	RIL101
RIL101_G02_L02_4	0.78233	0.0151226	0.210109	RIL101
RIL101_G09_L01_1	0.772685	0.0179903	0.21832	RIL101
RIL101_G09_L02_2	0.782725	0.0122716	0.211139	RIL101
RIL108_G02_L01_3	0.818892	0.0140637	0.174076	RIL108
RIL108_G02_L01_4	0.818294	0.0148499	0.174281	RIL108
RIL108_G02_L02_3	0.818327	0.0143998	0.174473	RIL108
RIL108_G02_L02_4	0.827764	0.0128101	0.165831	RIL108
RIL108_G09_L02_1	0.831253	0.00888142	0.164306	RIL108
RIL112_G02_L02_3	0.80159	0.0115582	0.192631	RIL112
RIL112_G02_L02_4	0.799837	0.0118925	0.194217	RIL112
RIL112_G09_L01_2	0.792526	0.012456	0.201246	RIL112
RIL116_G02_L01_3	0.807811	0.0110348	0.186672	RIL116
RIL116_G02_L01_4	0.816235	0.0107273	0.178401	RIL116
RIL116_G02_L02_3	0.826834	0.00816236	0.169084	RIL116
RIL116_G02_L02_4	0.818562	0.0115201	0.175678	RIL116
RIL116_G09_L01_2	0.821383	0.0100346	0.173599	RIL116
RIL11_G02_L01_3	0.807035	0.0124724	0.186728	RIL11
RIL11_G02_L01_4	0.804769	0.0130034	0.188729	RIL11
RIL11_G02_L02_3	0.811776	0.0103853	0.183031	RIL11
RIL11_G02_L02_4	0.808872	0.0102306	0.186013	RIL11
RIL11_G09_L01_1	0.802674	0.011996	0.191328	RIL11
RIL11_G09_L01_2	0.808046	0.012547	0.185681	RIL11
RIL11_G09_L02_1	0.812633	0.0117117	0.181511	RIL11
