line	global_methy_lvl	gbM_methy_lvl	VIM4	peak_genotype
RIL101	20.8579428571429	28.4277857142857	9.349767	peakLer
RIL108	17.05934	17.401	9.463646	peakCvi
RIL11	18.728125	19.393325	9.707137	peakCvi
RIL112	19.6031333333333	26.8565333333333	9.162375	peakLer
RIL116	17.66868	17.1337	9.326108	peakCvi
RIL120	18.8116833333333	22.1061333333333	9.214491	peakCvi
RIL125	19.5969	28.3801666666667	9.307324	peakLer
RIL126	19.8435	22.8965	9.109449	peakLer
RIL127	18.378825	22.1694375	9.2341	peakLer
RIL13	19.0392142857143	23.4573142857143	9.172469	peakLer
RIL132	19.8095666666667	21.8986	9.376268	peakLer
RIL133	19.4937428571429	28.1679857142857	9.272394	peakLer
RIL135	18.97086	24.55262	9.271444	peakLer
RIL136	16.68026	18.64282	9.432912	peakCvi
RIL140	16.70515	16.40455	9.326617	peakLer
RIL142	19.0138333333333	22.7839	9.333646	peakLer
RIL143	17.99828	24.3596	9.476123	peakLer
RIL146	20.3678571428571	26.9252714285714	9.179112	peakLer
RIL147	18.4743333333333	22.1141	9.442708	peakCvi
RIL149	20.3177	24.6953	9.25643	peakLer
RIL15	14.7199	15.827	9.653163	peakCvi
RIL150	18.6843	24.507675	9.157964	peakLer
RIL151	19.537	25.840025	9.245871	peakLer
RIL153	20.5046	29.5480142857143	9.103437	peakLer
RIL155	16.7674333333333	18.2966666666667	9.41049	peakCvi
RIL158	19.8463	23.4603833333333	9.291433	peakLer
RIL162	17.1597428571429	18.2112714285714	9.230587	peakCvi
RIL163	19.80448	25.58318	9.184782	peakLer
RIL165	18.3549285714286	24.2839428571429	9.392401	peakLer
RIL166	19.233	25.8570166666667	9.016623	peakLer
RIL167	17.9481666666667	23.844	9.155854	peakLer
RIL168	17.03712	16.37852	9.2348	peakCvi
RIL170	20.1428	27.314025	9.150888	peakLer
RIL172	20.7129	26.55102	9.245652	peakLer
RIL173	20.1769285714286	22.7089142857143	9.366199	peakLer
RIL175	17.8969857142857	20.0173	9.163957	peakCvi
RIL18	18.6517666666667	25.3990166666667	9.299393	peakLer
RIL180	21.2836166666667	27.6167	9.202025	peakLer
RIL182	19.91946	23.65012	9.408518	peakLer
RIL19	19.5473666666667	28.7205666666667	9.023361	peakLer
RIL190	18.1809	20.1164	9.37784	peakLer
RIL191	20.66365	28.442325	9.434014	peakLer
RIL192	17.9087125	23.4415625	9.133831	peakLer
RIL21	17.8065	18.11186	9.17636	peakCvi
RIL22	21.3183	27.44518	9.467332	peakLer
RIL23	18.13245	22.655325	9.235574	peakLer
RIL25	19.0742333333333	21.9614	9.589092	peakLer
RIL29	19.2329571428571	23.0102428571429	9.219726	peakLer
RIL36	18.72845	23.45855	9.195192	peakLer
RIL37	18.9745	21.4114333333333	9.41246	peakCvi
RIL4	17.5501	20.0251571428571	9.49934	peakCvi
RIL50	18.0486	20.6403	9.385036	peakCvi
RIL54	18.81698	21.15632	9.161561	peakLer
RIL55	19.0121333333333	22.2557333333333	9.247944	peakCvi
RIL58	20.029	23.4193	9.21878	peakLer
RIL59	20.4926428571429	25.0366285714286	9.252445	peakLer
RIL6	18.2649333333333	22.6553666666667	9.274103	peakCvi
RIL61	19.00266	25.18836	9.082187	peakLer
RIL63	17.72065	20.325	9.313243	peakCvi
RIL65	18.5526	23.198025	9.004998	peakLer
RIL68	18.753125	23.9500575	9.292661	peakLer
RIL7	18.1000333333333	16.2626333333333	9.511476	peakCvi
RIL70	19.1132333333333	26.1953666666667	9.014253	peakLer
RIL71	19.0661166666667	24.7451833333333	9.245105	peakLer
RIL72	18.0759666666667	18.0056333333333	9.320635	peakCvi
