line	global_methy_lvl	gbM_methy_lvl	VIM4	peak_genotype
RIL101	22.3497	29.0406666666667	9.349767	peakLer
RIL108	18.4283	18.53508	9.463646	peakCvi
RIL11	18.7031	19.01115	9.707137	peakCvi
RIL112	20.1433	26.9083666666667	9.162375	peakLer
RIL116	17.96208	17.94076	9.326108	peakCvi
RIL120	18.90015	22.0672833333333	9.214491	peakCvi
RIL125	20.5148666666667	28.7300833333333	9.307324	peakLer
RIL126	23.34912	26.63442	9.109449	peakLer
RIL127	18.0188375	21.9135125	9.2341	peakLer
RIL13	25.6857428571429	26.8099	9.172469	peakLer
RIL132	24.2445666666667	23.3490666666667	9.376268	peakLer
RIL133	17.3163571428571	26.1839571428571	9.272394	peakLer
RIL135	17.83588	23.8655	9.271444	peakLer
RIL136	18.89458	19.3439	9.432912	peakCvi
RIL140	18.928675	19.316325	9.326617	peakLer
RIL142	18.1341	22.2941666666667	9.333646	peakLer
RIL143	18.74606	25.46304	9.476123	peakLer
RIL146	22.7109	27.7155428571429	9.179112	peakLer
RIL147	19.2541	23.32905	9.442708	peakCvi
RIL149	25.393	26.28615	9.25643	peakLer
RIL15	15.39278	16.5202	9.653163	peakCvi
RIL150	19.072675	24.77015	9.157964	peakLer
RIL151	18.11985	24.1217	9.245871	peakLer
RIL153	20.1267857142857	29.0079857142857	9.103437	peakLer
RIL155	17.4579333333333	19.6182	9.41049	peakCvi
RIL158	22.0403333333333	24.4975833333333	9.291433	peakLer
RIL162	22.1794166666667	22.0296833333333	9.230587	peakCvi
RIL163	19.6619	25.89092	9.184782	peakLer
RIL165	19.3579	24.8235285714286	9.392401	peakLer
RIL166	19.62705	26.56675	9.016623	peakLer
RIL167	17.1904666666667	22.8705	9.155854	peakLer
RIL168	20.11372	19.4425	9.2348	peakCvi
RIL170	19.9987	27.025825	9.150888	peakLer
RIL172	19.63668	25.055	9.245652	peakLer
RIL173	27.1320571428571	25.5146571428572	9.366199	peakLer
RIL175	19.135	21.8433285714286	9.163957	peakCvi
RIL18	19.6927	26.4815333333333	9.299393	peakLer
RIL180	28.23005	30.2619166666667	9.202025	peakLer
RIL182	25.40198	25.65128	9.408518	peakLer
RIL19	17.7154666666667	26.7275333333333	9.023361	peakLer
RIL190	19.4353142857143	21.1772571428571	9.37784	peakLer
RIL191	18.61625	26.765175	9.434014	peakLer
RIL192	18.5144375	23.810475	9.133831	peakLer
RIL21	16.94704	18.34242	9.17636	peakCvi
RIL22	23.5415	27.1528	9.467332	peakLer
RIL23	17.128775	22.175825	9.235574	peakLer
RIL25	22.1572666666667	22.7293	9.589092	peakLer
RIL29	21.4204333333333	24.0927666666667	9.219726	peakLer
RIL36	23.341475	24.890025	9.195192	peakLer
RIL37	20.9129333333333	22.0097	9.41246	peakCvi
RIL4	16.4778714285714	19.9006714285714	9.49934	peakCvi
RIL50	17.9045	20.48786	9.385036	peakCvi
RIL54	21.92428	23.8534	9.161561	peakLer
RIL55	20.97065	22.7303333333333	9.247944	peakCvi
RIL58	26.0691	25.575875	9.21878	peakLer
RIL59	28.3248	29.0836428571429	9.252445	peakLer
RIL6	27.0697333333333	26.9397666666667	9.274103	peakCvi
RIL61	24.0178	28.13634	9.082187	peakLer
RIL63	21.177975	22.457025	9.313243	peakCvi
RIL65	20.660225	25.497775	9.004998	peakLer
RIL68	19.5820375	25.3293125	9.292661	peakLer
RIL7	16.9367833333333	16.3453333333333	9.511476	peakCvi
RIL70	19.9918666666667	26.8197	9.014253	peakLer
RIL71	18.8273666666667	24.61195	9.245105	peakLer
RIL72	21.9973	19.8008	9.320635	peakCvi
