line	Alpha	Alpha_SE	Beta	Beta_SE	VIM4	avg	peak_genotype
RIL101	0.000299967613853436	2.76186034927791e-05	0.00106237209086689	9.83181970498149e-05	9.349767	6.81169852360163	peakLer
RIL108	0.000268771973929248	2.88179713584033e-05	0.00125643888089157	0.000135543335737361	9.463646	7.62605427410409	peakCvi
RIL11	0.000327330689094002	1.68795003300113e-05	0.00137384083623071	7.13279624601435e-05	9.707137	8.50585762662356	peakCvi
RIL112	0.000385340707705007	5.01812755652873e-05	0.00153394795581688	0.000201270013862629	9.162375	9.59644331760943	peakLer
RIL116	0.000369576657752462	3.20107106037617e-05	0.00167664092230911	0.000146380622935913	9.326108	10.2310879003079	peakCvi
RIL120	0.00035186980069023	5.50809442238703e-05	0.00145486605870983	0.00022927381880003	9.214491	9.0336792970003	peakCvi
RIL125	0.000245129058359051	3.2001217928656e-05	0.000974876036315765	0.000127905731977828	9.307324	6.10002547337408	peakLer
RIL126	0.000286897602781583	2.38198206235788e-05	0.00111963971022514	9.34702250553552e-05	9.109449	7.03268656503362	peakLer
RIL127	0.000216364275080175	2.75383923357703e-05	0.000933785188851261	0.000119399705861814	9.2341	5.75074731965718	peakLer
RIL13	0.000268414183687646	1.41259575326624e-05	0.00111083643544551	5.87872034839433e-05	9.172469	6.89625309566578	peakLer
RIL132	0.00030476219373096	5.86241296427484e-09	0.00119361363216014	2.30973376003647e-08	9.376268	7.4918791294555	peakLer
RIL133	0.000213841861462503	2.09359964484221e-05	0.00085168951362846	8.37392961581448e-05	9.272394	5.32765687545481	peakLer
RIL135	0.000247485306876267	1.86491431963857e-05	0.00101566454753863	7.69447533364515e-05	9.271444	6.31574927207449	peakLer
RIL136	0.00037664179682358	4.69516999728051e-05	0.00181918425304789	0.000228666212882767	9.432912	10.9791302493574	peakCvi
RIL140	0.000162065356296589	4.42264533206854e-05	0.000791039258619008	0.000216692835775643	9.326617	4.76552307457799	peakLer
RIL142	0.000224405270225349	2.91446528785584e-08	0.000921504159208017	1.20217812786095e-07	9.333646	5.72954714716683	peakLer
RIL143	0.000346257989282511	4.0917911964618e-05	0.00152808721553047	0.000181898612603989	9.476123	9.3717260240649	peakLer
RIL146	0.000199369714070399	2.20240848669001e-05	0.000753676451123953	8.35766596622946e-05	9.179112	4.76523082597176	peakLer
RIL147	0.00034724283410131	3.57012534514797e-05	0.00149286833786899	0.000154600045603736	9.442708	9.2005558598515	peakCvi
