line	Alpha	Alpha_SE	Beta	Beta_SE	condition	peak_genotype
RIL101	7.85239962024578	9.34302212825752e-05	0.00149282337665663	0.0001791974327164	Lerseg	peakLer
RIL101	4.47832584230379	5.18538790736882e-05	0.00252972364042283	0.000296323747607011	Cviseg	peakLer
RIL108	10.3525805833456	0.000197883034547275	0.00290830060540181	0.000564608412225678	Lerseg	peakCvi
RIL108	4.57146642439142	6.11341389188474e-05	0.00295719201234642	0.000400774047135044	Cviseg	peakCvi
RIL11	16.2736000913927	0.000105114149553682	0.0040798937409535	0.000269469383455245	Lerseg	peakCvi
RIL11	6.49105312216902	5.0249518114716e-05	0.00375190164607509	0.000295557456753384	Cviseg	peakCvi
RIL112	11.0480490861294	0.000249397309381933	0.00231765120900052	0.00053028031909927	Lerseg	peakLer
RIL112	5.46797752194572	6.49246095359567e-05	0.00324786847036731	0.000391405947534744	Cviseg	peakLer
RIL116	18.8330065618672	0.00021954411907548	0.00504868916658863	0.000604449399391217	Lerseg	peakCvi
RIL116	6.21798625711631	8.43702629700844e-05	0.0038611711400733	0.000532739423679575	Cviseg	peakCvi
RIL120	17.4062330468789	0.000275011770716131	0.00441931614997306	0.000715064592456329	Lerseg	peakCvi
RIL120	3.50798739872944	0.00012251613535668	0.00234827597647521	0.000825417079755039	Cviseg	peakCvi
RIL125	6.84128575578114	9.36845183134085e-05	0.00153615358252523	0.000212184550488897	Lerseg	peakLer
RIL125	3.88267271813185	5.6394911418502e-05	0.00218008886104118	0.000319833807511765	Cviseg	peakLer
RIL126	6.94407251575401	8.82499002212518e-05	0.00169210711528395	0.000217126222613392	Lerseg	peakLer
RIL126	4.21409075738039	4.79654035548033e-05	0.00264585081370568	0.000304864073433225	Cviseg	peakLer
RIL127	7.78059859858662	0.000103396203381211	0.00174615914300178	0.000234428943688153	Lerseg	peakLer
RIL127	4.09314185762143	5.12248764612316e-05	0.00240649328126117	0.000304616467350861	Cviseg	peakLer
RIL13	9.03759944652212	6.46202019805482e-05	0.00202392312760716	0.000146436563608799	Lerseg	peakLer
RIL13	4.09849598142445	2.96147352995425e-05	0.00262898523950666	0.000192259114922078	Cviseg	peakLer
RIL132	11.6197412773827	0.00011278474850431	0.00217513184620059	0.00021389217547933	Lerseg	peakLer
RIL132	4.52133297028861	5.73137229103348e-05	0.00246522934181038	0.000316260859569203	Cviseg	peakLer
RIL133	7.33412873196733	5.71924009953371e-05	0.00146398797154849	0.000115171540410832	Lerseg	peakLer
RIL133	3.898410678789	3.63063008583685e-05	0.00226162198903937	0.000212901871895629	Cviseg	peakLer
RIL135	7.18381084477412	7.28403733342206e-05	0.00148030145609018	0.00015139144077121	Lerseg	peakLer
RIL135	3.99137490478559	3.91417943452402e-05	0.00236167599289795	0.000234071109014304	Cviseg	peakLer
RIL136	17.9653677644786	0.000265972221098385	0.00454376781191183	0.000689392734454974	Lerseg	peakCvi
RIL136	6.268543039141	0.000109806947720383	0.00401443694944318	0.000716221743918425	Cviseg	peakCvi
RIL140	7.17499124527053	0.000205169521771599	0.00199868744832427	0.000577681206571298	Lerseg	peakLer
RIL140	2.71510010568752	4.97862886117396e-05	0.00192716042371795	0.000356360604442174	Cviseg	peakLer
RIL142	8.69568281946411	4.98928247274089e-05	0.00150652537835488	8.72578628119058e-05	Lerseg	peakLer
RIL142	4.7345558414802	1.84753069563695e-06	0.0025192430582225	9.9471081892239e-06	Cviseg	peakLer
RIL143	7.95776307169107	0.000111785467723875	0.00179765602928513	0.000255231048466379	Lerseg	peakLer
RIL143	4.66479448076776	8.48372782412894e-05	0.00293591991589107	0.000541306743693998	Cviseg	peakLer
RIL146	7.62449418190245	4.93964893265929e-05	0.0015913843398607	0.000104062056167134	Lerseg	peakLer
RIL146	4.14191260919431	2.39402672945967e-05	0.00242361386577616	0.000141655121881459	Cviseg	peakLer
RIL147	11.570198886153	0.000151273818069978	0.00291367058669736	0.000387040622407287	Lerseg	peakCvi
