RIL	mean_methy_lvl	condition	peak_genotype
RIL101	14.7713333333333	Cviseg	peakLer
RIL101	33.8138333333333	Lerseg	peakLer
RIL108	25.29858	Lerseg	peakCvi
RIL108	13.01492	Cviseg	peakCvi
RIL11	27.8598875	Lerseg	peakCvi
RIL11	14.427325	Cviseg	peakCvi
RIL112	31.7623	Lerseg	peakLer
RIL112	14.1740666666667	Cviseg	peakLer
RIL116	13.59456	Cviseg	peakCvi
RIL116	26.6687	Lerseg	peakCvi
RIL120	12.6718833333333	Cviseg	peakCvi
RIL120	27.44805	Lerseg	peakCvi
RIL125	14.9002666666667	Cviseg	peakLer
RIL125	30.4318166666667	Lerseg	peakLer
RIL126	13.511524	Cviseg	peakLer
RIL126	28.62863	Lerseg	peakLer
RIL127	14.33525625	Cviseg	peakLer
RIL127	30.4122375	Lerseg	peakLer
RIL13	13.3555571428571	Cviseg	peakLer
RIL13	30.5423571428571	Lerseg	peakLer
RIL132	15.2604	Cviseg	peakLer
RIL132	34.2588	Lerseg	peakLer
RIL133	14.4276714285714	Cviseg	peakLer
RIL133	32.8182857142857	Lerseg	peakLer
RIL135	14.15512	Cviseg	peakLer
RIL135	32.08372	Lerseg	peakLer
RIL136	27.90672	Lerseg	peakCvi
RIL136	13.30126	Cviseg	peakCvi
RIL140	26.064275	Lerseg	peakLer
RIL140	12.1616525	Cviseg	peakLer
RIL142	36.1289333333333	Lerseg	peakLer
RIL142	15.5678666666667	Cviseg	peakLer
RIL143	30.30464	Lerseg	peakLer
RIL143	13.46698	Cviseg	peakLer
RIL146	31.9441714285714	Lerseg	peakLer
RIL146	14.2930714285714	Cviseg	peakLer
RIL147	28.0486	Lerseg	peakCvi
RIL147	13.31619	Cviseg	peakCvi
RIL149	14.8228	Cviseg	peakLer
RIL149	33.657	Lerseg	peakLer
RIL15	11.33738	Cviseg	peakCvi
RIL15	21.50432	Lerseg	peakCvi
RIL150	30.605775	Lerseg	peakLer
RIL150	14.65225	Cviseg	peakLer
RIL151	33.6167	Lerseg	peakLer
RIL151	15.626	Cviseg	peakLer
RIL153	14.3856714285714	Cviseg	peakLer
RIL153	31.9885571428571	Lerseg	peakLer
RIL154	15.32438	Cviseg	peakLer
RIL154	32.86008	Lerseg	peakLer
RIL155	23.3289833333333	Lerseg	peakCvi
RIL155	11.5905216666667	Cviseg	peakCvi
RIL158	15.3488166666667	Cviseg	peakLer
RIL158	32.7928666666667	Lerseg	peakLer
RIL162	21.66135	Lerseg	peakCvi
RIL162	10.3663183333333	Cviseg	peakCvi
RIL163	31.64592	Lerseg	peakLer
RIL163	13.66837	Cviseg	peakLer
RIL165	13.3309857142857	Cviseg	peakLer
RIL165	29.7229428571429	Lerseg	peakLer
RIL166	30.5411333333333	Lerseg	peakLer
RIL166	14.0154833333333	Cviseg	peakLer
RIL167	14.3053666666667	Cviseg	peakLer
RIL167	32.6016333333333	Lerseg	peakLer
RIL168	12.04615	Cviseg	peakCvi
RIL168	24.79666	Lerseg	peakCvi
RIL170	14.787575	Cviseg	peakLer
RIL170	33.043575	Lerseg	peakLer
RIL172	16.15538	Cviseg	peakLer
RIL172	34.72796	Lerseg	peakLer
RIL173	14.1733857142857	Cviseg	peakLer
RIL173	30.1767285714286	Lerseg	peakLer
RIL175	12.4021828571429	Cviseg	peakCvi
RIL175	25.5710285714286	Lerseg	peakCvi
RIL18	13.80145	Cviseg	peakLer
RIL18	30.0012166666667	Lerseg	peakLer
RIL180	15.5281	Cviseg	peakLer
RIL180	32.2241333333333	Lerseg	peakLer
RIL182	14.77244	Cviseg	peakLer
RIL182	32.38254	Lerseg	peakLer
RIL186	13.7192428571429	Cviseg	peakCvi
RIL186	27.8118571428571	Lerseg	peakCvi
RIL19	32.658	Lerseg	peakLer
RIL19	14.1650333333333	Cviseg	peakLer
RIL190	29.9919428571429	Lerseg	peakLer
RIL190	14.1462714285714	Cviseg	peakLer
RIL191	33.530025	Lerseg	peakLer
RIL191	14.56795	Cviseg	peakLer
RIL192	14.1913375	Cviseg	peakLer
RIL192	30.531425	Lerseg	peakLer
RIL21	12.97974	Cviseg	peakCvi
RIL21	26.90778	Lerseg	peakCvi
RIL22	16.57986	Cviseg	peakLer
RIL22	32.88402	Lerseg	peakLer
RIL23	14.526375	Cviseg	peakLer
RIL23	30.8308	Lerseg	peakLer
RIL25	14.8665333333333	Cviseg	peakLer
RIL25	32.902	Lerseg	peakLer
RIL27	13.19722	Cviseg	peakCvi
RIL27	26.78414	Lerseg	peakCvi
RIL29	14.7531666666667	Cviseg	peakLer
RIL29	34.7597666666667	Lerseg	peakLer
RIL36	13.817175	Cviseg	peakLer
RIL36	31.849075	Lerseg	peakLer
RIL37	14.136	Cviseg	peakCvi
RIL37	28.6266	Lerseg	peakCvi
RIL4	25.8447285714286	Lerseg	peakCvi
RIL4	12.6302285714286	Cviseg	peakCvi
RIL50	26.41038	Lerseg	peakCvi
RIL50	14.37736	Cviseg	peakCvi
RIL54	28.21342	Lerseg	peakLer
RIL54	12.886088	Cviseg	peakLer
RIL55	29.41805	Lerseg	peakCvi
RIL55	13.885	Cviseg	peakCvi
RIL58	31.69865	Lerseg	peakLer
RIL58	14.075875	Cviseg	peakLer
RIL59	30.0641571428571	Lerseg	peakLer
RIL59	13.3649785714286	Cviseg	peakLer
RIL6	12.3368666666667	Cviseg	peakCvi
RIL6	27.1812666666667	Lerseg	peakCvi
RIL61	13.04996	Cviseg	peakLer
RIL61	30.53164	Lerseg	peakLer
RIL63	25.170825	Lerseg	peakCvi
RIL63	11.15372	Cviseg	peakCvi
RIL65	28.6099	Lerseg	peakLer
RIL65	12.9937675	Cviseg	peakLer
RIL68	13.68240125	Cviseg	peakLer
RIL68	30.2517	Lerseg	peakLer
RIL7	12.8444833333333	Cviseg	peakCvi
RIL7	23.9155333333333	Lerseg	peakCvi
RIL70	30.8473333333333	Lerseg	peakLer
RIL70	14.2391333333333	Cviseg	peakLer
RIL71	14.4110833333333	Cviseg	peakLer
RIL71	30.8594666666667	Lerseg	peakLer
RIL72	28.1456	Lerseg	peakCvi
RIL72	13.34425	Cviseg	peakCvi
RIL101	30.5997666666667	All	peakLer
RIL101	30.5997666666667	All	peakLer
RIL108	12.11002	All	peakCvi
RIL108	12.11002	All	peakCvi
RIL11	16.4730625	All	peakCvi
RIL11	16.4730625	All	peakCvi
RIL112	23.5079666666667	All	peakLer
RIL112	23.5079666666667	All	peakLer
RIL116	15.39624	All	peakCvi
