line	Alpha	Alpha_SE	Beta	Beta_SE	condition	peak_genotype
RIL101	3.73712032371108	3.28149822804174e-05	0.00104839346341795	9.258029054255e-05	Lerseg	peakLer
RIL101	2.08344298687584	1.63289884783466e-05	0.00112018439938491	8.82488499285722e-05	Cviseg	peakLer
RIL108	3.66761773840455	5.00334344731204e-05	0.00137390784987883	0.00018868326158258	Lerseg	peakCvi
RIL108	1.97746773165598	1.81177506276348e-05	0.000841814165471593	7.74406245040929e-05	Cviseg	peakCvi
RIL11	4.60187048010014	3.20768810953293e-05	0.00134388457849473	9.43442817413833e-05	Lerseg	peakCvi
RIL11	2.49780599351889	1.84726797087102e-05	0.00115111760678673	8.5602938014121e-05	Cviseg	peakCvi
RIL112	4.57126629532136	4.95682730819218e-05	0.00180969598355755	0.00019796829708122	Lerseg	peakLer
RIL112	3.15535699844885	1.56660158369697e-05	0.000935453065388893	4.66721603735868e-05	Cviseg	peakLer
RIL116	5.5028093304112	5.070758289183e-05	0.00459971483361621	0.000432532505196015	Lerseg	peakCvi
RIL116	3.02553616629147	3.30994476017763e-05	0.00101694934970094	0.000111831145092418	Cviseg	peakCvi
RIL120	4.88685665992048	7.84359433535051e-05	0.00117591559462653	0.000190001460633485	Lerseg	peakCvi
RIL120	1.95466324328168	3.43462490330492e-05	0.00229163097223854	0.000406465599873906	Cviseg	peakCvi
RIL125	2.69319892587223	3.77112055414754e-05	0.000817584493048814	0.000114979481874928	Lerseg	peakLer
RIL125	1.71883376967641	1.83030584684092e-05	0.00223440201880465	0.000240349944273392	Cviseg	peakLer
RIL126	3.40108830661297	3.35866549861918e-05	0.000933154762577615	9.26238662732618e-05	Lerseg	peakLer
RIL126	2.29619741140256	1.24666048734375e-05	0.00126600927627892	6.9146899467854e-05	Cviseg	peakLer
RIL127	2.81875500287182	3.79806611207518e-05	0.000833800319859854	0.000112855604217749	Lerseg	peakLer
RIL127	1.65994703294447	1.9954510112604e-05	0.000847567662662495	0.000102289247945121	Cviseg	peakLer
RIL13	3.44131957508454	1.8863320436565e-05	0.0010292331610163	5.67244367955768e-05	Lerseg	peakLer
RIL13	1.80212770453011	9.96693075778908e-06	0.00121028503485214	6.73077852004887e-05	Cviseg	peakLer
RIL132	5.40304651481972	3.65641284825528e-08	0.000851446647341123	5.79430762363156e-08	Lerseg	peakLer
RIL132	2.27495917884688	5.67805891665468e-06	0.00123466449144518	3.09937450737517e-05	Cviseg	peakLer
RIL133	2.38007434325909	2.27388078218519e-05	0.000805827197363374	7.73051419929794e-05	Lerseg	peakLer
RIL133	1.55826528058931	1.65079736449676e-05	0.00062463130707233	6.63805197120903e-05	Cviseg	peakLer
RIL135	3.16741664075305	2.43829389631206e-05	0.000826434974492082	6.39098823153614e-05	Lerseg	peakLer
RIL135	1.79624705280011	1.22212715110413e-05	0.00219668515963393	0.000150847036108969	Cviseg	peakLer
RIL136	5.34161654963736	6.65031974263584e-05	0.0020157546301542	0.000253544635116612	Lerseg	peakCvi
RIL136	2.76570646426715	3.69991302187824e-05	0.00127662684368227	0.000171843208702752	Cviseg	peakCvi
RIL140	2.41266546444419	7.25034743266602e-05	0.000917867765542927	0.000277100577164357	Lerseg	peakLer
RIL140	1.38240433328365	3.2819953159527e-05	0.000645388403570796	0.000153686960272041	Cviseg	peakLer
RIL142	2.76845092532707	3.0131126334807e-08	0.000946942053107612	1.0356362275642e-07	Lerseg	peakLer
RIL142	2.01845115625215	1.57095326978683e-08	0.00078125805162706	6.10460386295212e-08	Cviseg	peakLer
RIL143	3.59608164868832	4.01512635846645e-05	0.00153155173688518	0.000172296920902706	Lerseg	peakLer
RIL143	2.89899291595888	4.14086825296285e-05	0.00113172824114058	0.000162560904592894	Cviseg	peakLer
RIL146	2.1950780077768	2.26467506540809e-05	0.00085796703907431	8.88977893825343e-05	Lerseg	peakLer
RIL146	1.78834986324369	2.35320967636479e-05	0.000431622536703303	5.69397163986711e-05	Cviseg	peakLer
RIL147	4.32609724092997	4.5096240268224e-05	0.0015925522730013	0.000167333476266318	Lerseg	peakCvi
RIL147	2.41725590673375	2.4066512246183e-05	0.00101061954028785	0.000101103556306308	Cviseg	peakCvi
RIL149	1.90320874333802	5.36073606581341e-05	0.000753372711802859	0.000212993439030482	Lerseg	peakLer
RIL149	1.00641024858701	3.90974589702273e-05	0.000318106113473076	0.000123777753062459	Cviseg	peakLer
RIL15	5.75536792210555	5.89860783330525e-05	0.00229171060362896	0.000237515516837296	Lerseg	peakCvi
RIL15	3.28958562673064	3.09033659299336e-05	0.00199765873886311	0.000189382318232943	Cviseg	peakCvi
RIL150	1.49002084494473	7.60049448544741e-05	0.000457603592830906	0.000234026776898301	Lerseg	peakLer
RIL150	0.908402670355951	3.95914163520672e-05	0.000525632428242524	0.000229674090089193	Cviseg	peakLer
RIL151	3.27481264008861	3.10699972818784e-05	0.00115106536559482	0.000109843636740228	Lerseg	peakLer
RIL151	2.75917792763277	1.67971536632513e-05	0.00102370867722149	6.26402936847883e-05	Cviseg	peakLer
RIL153	2.76512642030095	4.4746496406896e-05	0.000916990635256066	0.000149111424790325	Lerseg	peakLer
RIL153	1.92704137185734	3.06220945666456e-05	0.000798756857694447	0.000127430625937862	Cviseg	peakLer
RIL154	3.97441898485642	3.70924365657309e-05	0.000974360071156181	9.14318687865411e-05	Lerseg	peakLer
RIL154	2.04821509249281	1.44777363485978e-05	0.00252300898632803	0.000180229854245874	Cviseg	peakLer
RIL155	5.29887515603994	8.13309460186027e-05	0.00318809792171387	0.000496394645965144	Lerseg	peakCvi
RIL155	3.36087926825368	3.79374969595547e-05	0.000920470001696905	0.000104421335421162	Cviseg	peakCvi
RIL158	2.95933648961464	2.06184978589643e-05	0.00113815116574852	7.97467617899348e-05	Lerseg	peakLer
RIL158	2.3993580865387	2.07011016866396e-05	0.000803214849859168	6.95885130679957e-05	Cviseg	peakLer
RIL162	4.93623354664699	8.1088617668214e-05	0.00207794004182258	0.000344882196923446	Lerseg	peakCvi
RIL162	2.378444430595	3.5063339299286e-05	0.000977504034439231	0.000144793053282559	Cviseg	peakCvi
RIL163	3.79178256752682	4.28490655752663e-05	0.00146806138013902	0.000167106483766829	Lerseg	peakLer
RIL163	3.17133160418746	2.92394226772725e-05	0.000920112873294043	8.52606241637996e-05	Cviseg	peakLer
RIL165	3.50716971196898	3.07835044143694e-05	0.00115333914821084	0.000101843073444256	Lerseg	peakLer
RIL165	1.69356403804974	1.35552494398993e-05	0.00102040449472066	8.20595699285517e-05	Cviseg	peakLer
RIL166	3.13459212524641	2.3061549308355e-05	0.00103228677470597	7.63483022741464e-05	Lerseg	peakLer
RIL166	1.90460465234563	1.01086719049892e-05	0.000936744520447639	4.99404113702667e-05	Cviseg	peakLer
RIL167	4.81065275057688	3.60011258970135e-05	0.00134783262096751	0.00010159673296377	Lerseg	peakLer
RIL167	2.33073239405314	1.72788284091573e-05	0.00164034270403007	0.00012250261263787	Cviseg	peakLer
RIL168	4.10669235004265	6.68412879586813e-05	0.00135619805038598	0.000222237385113924	Lerseg	peakCvi
RIL168	2.55448676944032	2.21182232885148e-05	0.00125255327437692	0.000109084457344307	Cviseg	peakCvi
RIL170	4.16342822794397	4.15221078468215e-05	0.00154098692295334	0.000154920992732572	Lerseg	peakLer
RIL170	2.83549811034178	2.67576254553092e-05	0.000689435928667085	6.53110859057387e-05	Cviseg	peakLer
RIL172	3.34138371045076	2.20422631819563e-05	0.00109651396779839	7.27342616592725e-05	Lerseg	peakLer
RIL172	2.58315562549419	1.26707170538141e-05	0.000809516336404656	3.98773486043589e-05	Cviseg	peakLer
RIL173	2.25210758899009	2.50764404737377e-05	0.000924609053017573	0.000103421878577356	Lerseg	peakLer
RIL173	1.54207346023556	1.46291238827763e-05	0.000462071037708934	4.39433810957143e-05	Cviseg	peakLer
RIL175	3.21336027690288	4.84386915716189e-05	0.00138632214845821	0.000210421137349049	Lerseg	peakCvi
RIL175	1.98951713926021	2.74656904943969e-05	0.000600951536904312	8.32227148369268e-05	Cviseg	peakCvi
RIL18	3.07179504984257	4.25330059317311e-05	0.000964977494732641	0.000134292163297786	Lerseg	peakLer
RIL18	1.93862446745325	2.62644988568975e-05	0.00223741963528284	0.000306001442155992	Cviseg	peakLer
RIL180	2.56932069782467	3.10522859981281e-05	0.000839545829633293	0.000101911962571381	Lerseg	peakLer
RIL180	2.11253580487409	2.80974018894118e-05	0.000452159591289396	6.03028561366941e-05	Cviseg	peakLer
RIL182	1.81313034790082	4.97639939105989e-05	0.000442795604387086	0.00012185978421615	Lerseg	peakLer
RIL182	1.10165737211419	2.7970405465233e-05	0.000663028146909766	0.000168885926865711	Cviseg	peakLer
RIL186	3.00231133348483	3.38107398074792e-05	0.00110239167720617	0.000124848152211307	Lerseg	peakCvi
