RIL	mean_methy_lvl	condition	peak_genotype
RIL101	15.2044333333333	Cviseg	peakLer
RIL101	25.4800166666667	Lerseg	peakLer
RIL108	20.32432	Lerseg	peakCvi
RIL108	18.50204	Cviseg	peakCvi
RIL11	24.7974875	Lerseg	peakCvi
RIL11	17.4100625	Cviseg	peakCvi
RIL112	19.6398666666667	Lerseg	peakLer
RIL112	24.7334666666667	Cviseg	peakLer
RIL116	22.48578	Cviseg	peakCvi
RIL116	10.360004	Lerseg	peakCvi
RIL120	7.51161833333333	Cviseg	peakCvi
RIL120	28.4075666666667	Lerseg	peakCvi
RIL125	6.87198833333333	Cviseg	peakLer
RIL125	24.1955166666667	Lerseg	peakLer
RIL126	14.91022	Cviseg	peakLer
RIL126	26.03488	Lerseg	peakLer
RIL127	15.986975	Cviseg	peakLer
RIL127	24.724375	Lerseg	peakLer
RIL13	12.6909571428571	Cviseg	peakLer
RIL13	24.5359142857143	Lerseg	peakLer
RIL132	15.1615666666667	Cviseg	peakLer
RIL132	37.8789333333333	Lerseg	peakLer
RIL133	19.4225428571429	Cviseg	peakLer
RIL133	22.1788285714286	Lerseg	peakLer
RIL135	7.21769	Cviseg	peakLer
RIL135	26.92206	Lerseg	peakLer
RIL136	20.37954	Lerseg	peakCvi
RIL136	17.31056	Cviseg	peakCvi
RIL140	20.456375	Lerseg	peakLer
RIL140	17.349025	Cviseg	peakLer
RIL142	21.9423333333333	Lerseg	peakLer
RIL142	19.9548666666667	Cviseg	peakLer
RIL143	18.51326	Lerseg	peakLer
RIL143	19.88958	Cviseg	peakLer
RIL146	19.8487714285714	Lerseg	peakLer
RIL146	28.6013714285714	Cviseg	peakLer
RIL147	20.9048833333333	Lerseg	peakCvi
RIL147	18.9110666666667	Cviseg	peakCvi
RIL149	23.3908	Cviseg	peakLer
RIL149	19.569625	Lerseg	peakLer
RIL15	13.75626	Cviseg	peakCvi
RIL15	19.46852	Lerseg	peakCvi
RIL150	23.980975	Lerseg	peakLer
RIL150	14.3486	Cviseg	peakLer
RIL151	21.536275	Lerseg	peakLer
RIL151	20.684025	Cviseg	peakLer
RIL153	18.9422428571429	Cviseg	peakLer
RIL153	22.5488714285714	Lerseg	peakLer
RIL154	7.16494	Cviseg	peakLer
RIL154	28.17958	Lerseg	peakLer
RIL155	13.8602166666667	Lerseg	peakCvi
RIL155	26.1783166666667	Cviseg	peakCvi
RIL158	22.4175	Cviseg	peakLer
RIL158	20.1252333333333	Lerseg	peakLer
RIL162	18.6834666666667	Lerseg	peakCvi
RIL162	19.0625666666667	Cviseg	peakCvi
RIL163	19.95432	Lerseg	peakLer
RIL163	25.06436	Cviseg	peakLer
RIL165	13.8748428571429	Cviseg	peakLer
RIL165	22.7235	Lerseg	peakLer
RIL166	22.7498666666667	Lerseg	peakLer
RIL166	16.4334	Cviseg	peakLer
RIL167	12.0913833333333	Cviseg	peakLer
RIL167	25.60205	Lerseg	peakLer
RIL168	16.6415	Cviseg	peakCvi
RIL168	22.76096	Lerseg	peakCvi
RIL170	28.52245	Cviseg	peakLer
RIL170	20.65245	Lerseg	peakLer
RIL172	23.55974	Cviseg	peakLer
RIL172	22.76318	Lerseg	peakLer
RIL173	24.5268428571429	Cviseg	peakLer
RIL173	19.1590714285714	Lerseg	peakLer
RIL175	24.2358	Cviseg	peakCvi
RIL175	18.2983571428571	Lerseg	peakCvi
RIL18	7.67355666666667	Cviseg	peakLer
RIL18	23.5716166666667	Lerseg	peakLer
RIL180	31.1104333333333	Cviseg	peakLer
RIL180	22.8083833333333	Lerseg	peakLer
RIL182	13.8034	Cviseg	peakLer
RIL182	28.30166	Lerseg	peakLer
RIL186	19.5287	Cviseg	peakCvi
RIL186	20.6587571428571	Lerseg	peakCvi
RIL19	19.1963333333333	Lerseg	peakLer
RIL19	24.0864666666667	Cviseg	peakLer
RIL190	34.4709	Lerseg	peakLer
RIL190	8.42862714285714	Cviseg	peakLer
RIL191	26.135325	Lerseg	peakLer
RIL191	6.16514	Cviseg	peakLer
RIL192	9.7028775	Cviseg	peakLer
RIL192	24.4553875	Lerseg	peakLer
RIL21	21.47802	Cviseg	peakCvi
RIL21	17.85686	Lerseg	peakCvi
RIL22	10.4524	Cviseg	peakLer
RIL22	27.47628	Lerseg	peakLer
RIL23	19.0113	Cviseg	peakLer
RIL23	21.53405	Lerseg	peakLer
RIL25	20.7067666666667	Cviseg	peakLer
RIL25	20.5111333333333	Lerseg	peakLer
RIL27	6.815784	Cviseg	peakCvi
RIL27	25.94484	Lerseg	peakCvi
RIL29	20.8528666666667	Cviseg	peakLer
RIL29	20.7215666666667	Lerseg	peakLer
RIL36	22.506225	Cviseg	peakLer
RIL36	19.921175	Lerseg	peakLer
RIL37	15.3582	Cviseg	peakCvi
RIL37	24.223	Lerseg	peakCvi
RIL4	20.7949571428571	Lerseg	peakCvi
RIL4	17.5053428571429	Cviseg	peakCvi
RIL50	22.12714	Lerseg	peakCvi
RIL50	16.22794	Cviseg	peakCvi
RIL54	21.72368	Lerseg	peakLer
RIL54	19.87344	Cviseg	peakLer
RIL55	11.5174166666667	Lerseg	peakCvi
RIL55	24.83515	Cviseg	peakCvi
RIL58	13.651025	Lerseg	peakLer
RIL58	22.4598	Cviseg	peakLer
RIL59	24.2441857142857	Lerseg	peakLer
RIL59	17.4510571428571	Cviseg	peakLer
RIL6	36.448	Cviseg	peakCvi
RIL6	17.0008	Lerseg	peakCvi
RIL61	24.17154	Cviseg	peakLer
RIL61	19.52738	Lerseg	peakLer
RIL63	22.397475	Lerseg	peakCvi
RIL63	13.207975	Cviseg	peakCvi
RIL65	20.08495	Lerseg	peakLer
RIL65	20.266625	Cviseg	peakLer
RIL68	29.939775	Cviseg	peakLer
RIL68	10.92631	Lerseg	peakLer
RIL7	15.8907166666667	Cviseg	peakCvi
RIL7	29.59295	Lerseg	peakCvi
RIL70	22.297	Lerseg	peakLer
RIL70	12.8598333333333	Cviseg	peakLer
RIL71	23.1602166666667	Cviseg	peakLer
RIL71	17.7471333333333	Lerseg	peakLer
RIL72	19.6415	Lerseg	peakCvi
RIL72	20.0556833333333	Cviseg	peakCvi
RIL101	20.2021666666667	All	peakLer
RIL101	20.2021666666667	All	peakLer
RIL108	17.1257	All	peakCvi
RIL108	17.1257	All	peakCvi
RIL11	18.6155375	All	peakCvi
RIL11	18.6155375	All	peakCvi
RIL112	19.2044666666667	All	peakLer
RIL112	19.2044666666667	All	peakLer
RIL116	17.51668	All	peakCvi
RIL116	17.51668	All	peakCvi
RIL120	17.6967833333333	All	peakCvi
RIL120	17.6967833333333	All	peakCvi
RIL125	18.5363666666667	All	peakLer
RIL125	18.5363666666667	All	peakLer
RIL126	19.857	All	peakLer
RIL126	19.857	All	peakLer
RIL127	17.5112375	All	peakLer
RIL127	17.5112375	All	peakLer
RIL13	18.8619857142857	All	peakLer
RIL13	18.8619857142857	All	peakLer
RIL132	19.0014333333333	All	peakLer
RIL132	19.0014333333333	All	peakLer
RIL133	18.8829428571429	All	peakLer
RIL133	18.8829428571429	All	peakLer
RIL135	18.68432	All	peakLer
RIL135	18.68432	All	peakLer
RIL136	16.3789	All	peakCvi
RIL136	16.3789	All	peakCvi
RIL140	16.608525	All	peakLer
RIL140	16.608525	All	peakLer
RIL142	18.3106666666667	All	peakLer
RIL142	18.3106666666667	All	peakLer
RIL143	16.92496	All	peakLer
RIL143	16.92496	All	peakLer
RIL146	19.8479142857143	All	peakLer
RIL146	19.8479142857143	All	peakLer
RIL147	17.8407	All	peakCvi
RIL147	17.8407	All	peakCvi
RIL149	19.484775	All	peakLer
RIL149	19.484775	All	peakLer
RIL15	13.83826	All	peakCvi
RIL15	13.83826	All	peakCvi
RIL150	18.0517	All	peakLer
RIL150	18.0517	All	peakLer
RIL151	18.75075	All	peakLer
RIL151	18.75075	All	peakLer
RIL153	19.3348857142857	All	peakLer
RIL153	19.3348857142857	All	peakLer
RIL154	19.91442	All	peakLer
RIL154	19.91442	All	peakLer
RIL155	16.5019833333333	All	peakCvi
RIL155	16.5019833333333	All	peakCvi
RIL158	19.5471166666667	All	peakLer
RIL158	19.5471166666667	All	peakLer
RIL162	17.2692166666667	All	peakCvi
RIL162	17.2692166666667	All	peakCvi
RIL163	19.53272	All	peakLer
RIL163	19.53272	All	peakLer
RIL165	17.8471714285714	All	peakLer
RIL165	17.8471714285714	All	peakLer
RIL166	18.60215	All	peakLer
RIL166	18.60215	All	peakLer
RIL167	17.2970833333333	All	peakLer
RIL167	17.2970833333333	All	peakLer
RIL168	17.3304	All	peakCvi
RIL168	17.3304	All	peakCvi
RIL170	20.0925	All	peakLer
RIL170	20.0925	All	peakLer
RIL172	20.425	All	peakLer
RIL172	20.425	All	peakLer
RIL173	19.9421142857143	All	peakLer
RIL173	19.9421142857143	All	peakLer
RIL175	17.9590857142857	All	peakCvi
RIL175	17.9590857142857	All	peakCvi
RIL18	18.4745833333333	All	peakLer
RIL18	18.4745833333333	All	peakLer
RIL180	21.7058	All	peakLer
RIL180	21.7058	All	peakLer
RIL182	20.0456	All	peakLer
RIL182	20.0456	All	peakLer
RIL186	17.8941571428571	All	peakCvi
RIL186	17.8941571428571	All	peakCvi
RIL19	18.1186333333333	All	peakLer
RIL19	18.1186333333333	All	peakLer
RIL190	18.3119	All	peakLer
RIL190	18.3119	All	peakLer
RIL191	20.4147	All	peakLer
RIL191	20.4147	All	peakLer
RIL192	17.059525	All	peakLer
RIL192	17.059525	All	peakLer
RIL21	17.62072	All	peakCvi
RIL21	17.62072	All	peakCvi
RIL22	21.303	All	peakLer
RIL22	21.303	All	peakLer
RIL23	18.2544	All	peakLer
RIL23	18.2544	All	peakLer
RIL25	18.3665333333333	All	peakLer
RIL25	18.3665333333333	All	peakLer
RIL27	16.12548	All	peakCvi
RIL27	16.12548	All	peakCvi
RIL29	18.7731	All	peakLer
RIL29	18.7731	All	peakLer
RIL36	18.590775	All	peakLer
RIL36	18.590775	All	peakLer
RIL37	18.7583333333333	All	peakCvi
RIL37	18.7583333333333	All	peakCvi
RIL4	17.3003142857143	All	peakCvi
RIL4	17.3003142857143	All	peakCvi
RIL50	17.53078	All	peakCvi
RIL50	17.53078	All	peakCvi
RIL54	18.8018	All	peakLer
RIL54	18.8018	All	peakLer
RIL55	17.8689	All	peakCvi
RIL55	17.8689	All	peakCvi
RIL58	19.214425	All	peakLer
RIL58	19.214425	All	peakLer
RIL59	20.5252571428571	All	peakLer
RIL59	20.5252571428571	All	peakLer
RIL6	18.2688333333333	All	peakCvi
RIL6	18.2688333333333	All	peakCvi
RIL61	18.85584	All	peakLer
RIL61	18.85584	All	peakLer
RIL63	17.08665	All	peakCvi
RIL63	17.08665	All	peakCvi
