RIL	gen	mean_methy_lvl	condition	peak_genotype	type
RIL101	02	15.077675	Cviseg	peakLer	Cviseg_peakLer
RIL101	09	15.45795	Cviseg	peakLer	Cviseg_peakLer
RIL101	02	25.41115	Lerseg	peakLer	Lerseg_peakLer
RIL101	09	25.61775	Lerseg	peakLer	Lerseg_peakLer
RIL108	02	18.63975	Cviseg	peakCvi	Cviseg_peakCvi
RIL108	09	19.4875	Lerseg	peakCvi	Lerseg_peakCvi
RIL108	02	20.533525	Lerseg	peakCvi	Lerseg_peakCvi
RIL108	09	17.9512	Cviseg	peakCvi	Cviseg_peakCvi
RIL11	09	24.816775	Lerseg	peakCvi	Lerseg_peakCvi
RIL11	02	17.221425	Cviseg	peakCvi	Cviseg_peakCvi
RIL11	02	24.7782	Lerseg	peakCvi	Lerseg_peakCvi
RIL11	09	17.5987	Cviseg	peakCvi	Cviseg_peakCvi
RIL112	02	24.5105	Cviseg	peakLer	Cviseg_peakLer
RIL112	09	25.1794	Cviseg	peakLer	Cviseg_peakLer
RIL112	02	19.36045	Lerseg	peakLer	Lerseg_peakLer
RIL112	09	20.1987	Lerseg	peakLer	Lerseg_peakLer
RIL116	02	10.338955	Lerseg	peakCvi	Lerseg_peakCvi
RIL116	09	10.4442	Lerseg	peakCvi	Lerseg_peakCvi
RIL116	02	22.6026	Cviseg	peakCvi	Cviseg_peakCvi
RIL116	09	22.0185	Cviseg	peakCvi	Cviseg_peakCvi
RIL120	02	7.63306	Cviseg	peakCvi	Cviseg_peakCvi
RIL120	09	7.39017666666667	Cviseg	peakCvi	Cviseg_peakCvi
RIL120	02	28.9476666666667	Lerseg	peakCvi	Lerseg_peakCvi
RIL120	09	27.8674666666667	Lerseg	peakCvi	Lerseg_peakCvi
RIL125	02	23.4376	Lerseg	peakLer	Lerseg_peakLer
RIL125	09	24.9534333333333	Lerseg	peakLer	Lerseg_peakLer
RIL125	02	6.57658333333333	Cviseg	peakLer	Cviseg_peakLer
RIL125	09	7.16739333333333	Cviseg	peakLer	Cviseg_peakLer
RIL126	09	15.9469	Cviseg	peakLer	Cviseg_peakLer
RIL126	02	25.595775	Lerseg	peakLer	Lerseg_peakLer
RIL126	09	27.7913	Lerseg	peakLer	Lerseg_peakLer
RIL126	02	14.65105	Cviseg	peakLer	Cviseg_peakLer
RIL127	02	24.591475	Lerseg	peakLer	Lerseg_peakLer
RIL127	09	24.857275	Lerseg	peakLer	Lerseg_peakLer
RIL127	02	15.899575	Cviseg	peakLer	Cviseg_peakLer
RIL127	09	16.074375	Cviseg	peakLer	Cviseg_peakLer
RIL13	02	23.313875	Lerseg	peakLer	Lerseg_peakLer
RIL13	02	11.92255	Cviseg	peakLer	Cviseg_peakLer
RIL13	09	13.7155	Cviseg	peakLer	Cviseg_peakLer
RIL13	09	26.1653	Lerseg	peakLer	Lerseg_peakLer
RIL132	02	15.2318	Cviseg	peakLer	Cviseg_peakLer
RIL132	02	38.1303	Lerseg	peakLer	Lerseg_peakLer
RIL132	09	37.3762	Lerseg	peakLer	Lerseg_peakLer
RIL132	09	15.0211	Cviseg	peakLer	Cviseg_peakLer
RIL133	02	22.3848333333333	Lerseg	peakLer	Lerseg_peakLer
RIL133	02	19.4809	Cviseg	peakLer	Cviseg_peakLer
RIL133	09	19.378775	Cviseg	peakLer	Cviseg_peakLer
RIL133	09	22.024325	Lerseg	peakLer	Lerseg_peakLer
RIL135	02	7.1828425	Cviseg	peakLer	Cviseg_peakLer
RIL135	02	26.873225	Lerseg	peakLer	Lerseg_peakLer
RIL135	09	27.1174	Lerseg	peakLer	Lerseg_peakLer
RIL135	09	7.35708	Cviseg	peakLer	Cviseg_peakLer
RIL136	02	20.3853	Lerseg	peakCvi	Lerseg_peakCvi
RIL136	09	17.45825	Cviseg	peakCvi	Cviseg_peakCvi
RIL136	02	17.2121	Cviseg	peakCvi	Cviseg_peakCvi
RIL136	09	20.3709	Lerseg	peakCvi	Lerseg_peakCvi
RIL140	09	16.0826	Cviseg	peakLer	Cviseg_peakLer
RIL140	02	21.1206333333333	Lerseg	peakLer	Lerseg_peakLer
RIL140	02	17.7711666666667	Cviseg	peakLer	Cviseg_peakLer
RIL140	09	18.4636	Lerseg	peakLer	Lerseg_peakLer
