Sample_name	context	U_proportion	I_proportion	observed_methy_lvl	genotype
0	CG	0.821351909745941	0.0101724605213651	0.173561859993377	Col0
1_L2	CG	0.769073385820004	0.0100873659898852	0.225882931185053	Col0
2_L2	CG	0.752282944555289	0.0101772769799284	0.242628416954747	Col0
4_L2	CG	0.791124131029612	0.0136017362005114	0.202075000870132	Col0
5_L2	CG	0.78402936552024	0.0112164411926357	0.210362413883442	Col0
8_L2	CG	0.790664820379547	0.0103287118158273	0.204170823712539	Col0
11_L2	CG	0.775710743898303	0.0121785426095499	0.218199984796922	Col0
1_L8	CG	0.760384421215363	0.00861003289010526	0.235310562339585	Col0
2_L8	CG	0.745336796983716	0.00981662815872649	0.249754888936921	Col0
4_L8	CG	0.745689245743724	0.00974878611618642	0.249436361198183	Col0
5_L8	CG	0.812787517690053	0.00999770507421999	0.182213629772837	Col0
8_L8	CG	0.761777827786539	0.0106806076961446	0.232881868365388	Col0
11_L8	CG	0.732010871661869	0.0175351469611104	0.259221554857576	Col0
0_0	CG	0.791796955340111	0.00878751196958059	0.203809288675099	Kn0
4_L5	CG	0.802384191348875	0.00874771774848822	0.193241949776881	Kn0
6_L5	CG	0.92427995957307	0.00263258274822927	0.0744037490528152	Kn0
11_L5	CG	0.934777524395276	0.0016593550859327	0.0643927980617577	Kn0
14_L5	CG	0.799641645771078	0.0102413243094805	0.195237692074182	Kn0
4_L10	CG	0.797708018009053	0.0085231389102742	0.198030412535809	Kn0
8_L10	CG	0.826018990273275	0.0110477721527656	0.168457123650343	Kn0
15_L10	CG	0.788523238184804	0.0130146436977405	0.204969439966326	Kn0
0_0	CG	0.850342673932509	0.00901377524529166	0.145150438444845	Mt0
4_L8	CG	0.80952388428955	0.0122652449213502	0.184343493249775	Mt0
4_L11	CG	0.816547404691201	0.0105454404491341	0.178179875084232	Mt0
8_L11	CG	0.842184526628892	0.0103276924346084	0.152651627153804	Mt0
12_L11	CG	0.819034485048522	0.0125430973367147	0.174693966283121	Mt0
14_L11	CG	0.772843524459223	0.00870074636055997	0.222806102360498	Mt0
16_L11	CG	0.778626729495206	0.0136495496277049	0.214548495690941	Mt0
0_0	CG	0.784175831609915	0.00992376773595943	0.210862284522105	Tsu0
4_L6	CG	0.792176931908384	0.00892904733753069	0.203358544422851	Tsu0
8_L6	CG	0.798900408301169	0.00986466990605277	0.196167256745804	Tsu0
10_L6	CG	0.808634570591287	0.0102116863482223	0.186259586234602	Tsu0
13_L6	CG	0.759099356433359	0.0131300488337027	0.234335619149789	Tsu0
14_L6	CG	0.775247231357294	0.0122856456998833	0.218609945792765	Tsu0
4_L7	CG	0.797077727698141	0.00837054873078889	0.198736997936464	Tsu0
8_L7	CG	0.806056718294789	0.0109188031516316	0.188483880129395	Tsu0
12_L7	CG	0.807545717765574	0.0110989663033634	0.186904799082745	Tsu0
16_L7	CG	0.770899516449497	0.0137165795684783	0.222242193766264	Tsu0
