Gene	P_Value	log	trait
X00001	0.252059317729127	0.598497243619412	1
X00002	0.384382823813651	0.415236027063882	2
X00003	0.994091880097136	0.00257347357543862	3
X00004	0.502593471168093	0.298783157315443	4
X00005	0.14700521609395	0.832667255179515	5
X00006	0.195121455340796	0.70969497343582	6
X00007	0.531702061185078	0.274331656105662	7
X00008	0.249566655667979	0.602813440731477	8
X00009	0.134593134366196	0.870977093031236	9
X00010	0.11153771596581	0.95257825309891	10
X00011	0.290809695159778	0.536391118843931	11
X00012	0.131406686503929	0.881382535553431	12
X00013	0.0670016171979987	1.17391471473662	13
X00014	0.660344199593447	0.180229632611739	14
X00015	0.0288782477429442	1.53942916216394	15
X00016	0.00105691048720271	2.97596179278727	16
X00017	0.95450632706226	0.0202211884865334	17
X00018	0.537775843029563	0.269398710246951	18
X00019	0.223544167329063	0.650636657175277	19
X00020	0.0421059476861573	1.37565655345566	20
X00021	0.149102770941422	0.826514285498132	21
X00022	0.14613542927151	0.835244480357467	22
X00023	0.101407721585882	0.993928974840309	23
X00024	0.437989619845243	0.358536181955606	24
X00025	0.660344199593447	0.180229632611739	25
X00026	0.920968743483288	0.03575510895959	26
X00027	0.00993199376680476	2.00296356167518	27
X00028	0.000824291082935363	3.08391939826732	28
X00029	0.356672604064772	0.447730247433224	29
X00030	0.313185180594466	0.504198796225577	30
X00031	0.467691277834951	0.330040729350578	31
X00032	0.716955658075979	0.144507703535017	32
X00033	0.11333116650846	0.94565064105166	33
X00034	0.159643377224296	0.796849093376352	34
X00035	0.367153425897672	0.435152415048396	35
X00036	0.546254802970577	0.26260473145045	36
X00037	0.0194130248932024	1.71190678856463	37
X00038	0.289908190775995	0.537739514349846	38
X00039	0.228214941807608	0.64165592463227	39
X00040	0.446816973102329	0.349870337828868	40
X00041	0.144517598176615	0.840079264840733	41
X00042	0.53755333713046	0.269578437696616	42
X00043	0.362187127102602	0.441066989493127	43
X00044	0.0731891860027311	1.13555308296189	44
X00045	0.495186515231477	0.305231190402111	45
X00046	0.877970403869541	0.0565201237895515	46
X00047	0.85346164218489	0.0688159929579	47
X00048	0.07397555091544	1.13091179184973	48
X00049	0.858772149540901	0.066122048419338	49
X00050	0.209267286890179	0.679298656197708	50
X00051	0.85823469203852	0.0663939341562058	51
X00052	0.293087730889466	0.533002361426898	52
X00053	0.0502871302442157	1.2985431477289	53
X00054	0.106102940034446	0.974272581951193	54
X00055	0.353185527207691	0.451997101194746	55
X00056	0.865722629133324	0.0626212303061036	56
X00057	0.772024932557841	0.112368673890375	57
X00058	0.48056283727943	0.31824981694558	58
X00059	0.571266014584597	0.24316161195801	59
X00060	0.0395454713934742	1.40290324317599	60
X00061	0.904254847390025	0.043709154461176	61
X00062	0.130345378155822	0.884904363628824	62
X00063	0.377055438323787	0.42359479094	63
X00064	0.757174747843712	0.120803878404762	64
X00065	0.389607026939641	0.409373218801662	65
X00066	0.0793043884791296	1.10070277939695	66
X00067	0.0621694573811824	1.20642292316404	67
X00068	0.397865379175936	0.400263849963952	68
X00069	0.20025610423628	0.698414236813125	69
X00070	0.107653363083057	0.967972398301252	70
X00071	0.870467354883874	0.0602475115766813	71
X00072	0.187938765242021	0.725983630786717	72
X00073	0.0414955105625905	1.3819988874653	73
X00074	0.800191606022486	0.0968060086646397	74
X00075	0.0862297434195503	1.06434290616006	75
X00076	0.775380810821485	0.110484951146016	76
X00077	0.157784520847049	0.801935604678247	77
X00078	0.491924708652056	0.308101362921982	78
X00079	0.69653065177072	0.157059767105091	79
X00080	0.111326170191125	0.953402731140575	80
X00081	0.689698361094157	0.161340806008463	81
X00082	0.69070229663731	0.160709099929494	82
X00083	0.0342446189707132	1.46540766168762	83
X00084	0.934515480556508	0.0294134999945314	84
X00085	0.488916130725784	0.310765633896667	85
X00086	0.0989558541824889	1.00455850803722	86
X00087	0.962222833867577	0.0167243413588072	87
X00088	0.214860743884534	0.667842925000296	88
X00089	0.261212332125811	0.583006323385624	89
X00090	0.178593343766274	0.748134731446615	90
X00091	0.332609741475212	0.478065035312003	91
X00092	0.362565570436001	0.44061343929068	92
X00093	0.334547361853745	0.475542390494993	93
X00094	0.327267142380698	0.485097595666868	94
X00095	0.399887892965422	0.398061744398373	95
X00096	0.327265123730312	0.485100274491943	96
X00097	0.182548948746632	0.738620663699471	97
X00098	0.104805271760315	0.979616871561909	98
