line	MET1	CMT1	CMT2	CMT3	DRM1	DRM2	Vim1	Vim3	Vim4	Vim5	Vim6	DME	DML2	DML3	ROS1	ROS3	ROS4	ROS5	REF6	peak_genotype
RIL101	9.546925	8.013531	9.019666	10.663188	8.920828	8.287796	9.288782	9.652905	9.349767	7.915693	8.126493	9.883736	7.266002	8.593428	9.487773	10.226115	9.027073	8.290503	9.566049	peakLer
RIL108	9.56749	7.588726	9.074664	11.662026	8.282162	8.367775	9.331454	9.839116	9.463646	7.985798	8.100014	10.066053	7.017276	8.648547	9.706029	10.245359	8.862612	8.588448	9.564055	peakCvi
RIL11	10.185162	7.649841	9.26066	10.882542	8.635934	8.300287	9.545691	9.934687	9.707137	8.003511	8.306797	9.876439	7.374632	8.601299	9.404368	9.985195	8.89478	7.794696	9.572648	peakCvi
RIL112	9.70161	7.52978	9.218461	10.688722	8.889852	8.340299	9.191613	8.757271	9.162375	7.882519	7.797307	9.939577	7.365756	8.551425	9.749417	10.135562	8.737636	7.984973	9.430298	peakLer
RIL116	9.674066	7.993451	9.118339	10.712668	8.620279	8.316857	9.372909	9.774873	9.326108	7.712016	8.725122	9.988945	7.61217	8.522095	9.535979	10.036755	8.788192	7.808821	9.78215	peakCvi
RIL120	9.893324	7.379822	9.205629	10.797341	8.806283	8.317522	9.490879	10.092632	9.214491	7.847624	8.07392	10.07745	7.230015	8.851307	9.506068	10.377176	8.888093	7.804027	9.663749	peakCvi
RIL125	9.633279	7.757467	9.206586	10.779369	8.341619	8.609885	9.374762	9.644964	9.307324	8.21564	8.098515	10.186891	7.478931	8.56579	9.673119	10.193907	8.722936	8.12742	9.631168	peakLer
RIL126	9.784783	7.652111	9.18979	10.104626	8.72383	8.618023	9.282799	9.528605	9.109449	8.092076	7.8708	10.024059	7.346323	8.48857	9.554568	9.903689	8.922791	7.870278	9.510983	peakLer
RIL127	9.840814	8.131081	9.159826	11.070244	8.882682	8.604019	9.391607	9.994473	9.2341	7.898228	8.066099	9.903076	7.397352	8.562761	9.469511	10.074713	8.888758	7.78954	9.768003	peakLer
RIL13	10.046757	7.516779	9.051586	10.99035	8.851815	8.298989	9.401887	9.709793	9.172469	7.819763	7.705097	9.89655	7.449793	8.479357	9.720091	10.081074	8.871534	7.90961	9.505641	peakLer
RIL132	9.914786	7.80127	9.189367	10.83496	8.754858	8.253337	9.356938	9.79031	9.376268	7.674723	7.973032	9.959209	7.385013	8.512311	9.54868	9.68682	8.855641	8.119617	9.62047	peakLer
RIL133	9.711578	7.52213	9.329373	10.810565	8.804636	8.523368	9.341869	9.62683	9.272394	8.096515	8.179037	9.59309	7.572029	8.247676	9.803251	10.232598	8.857918	7.772795	9.510847	peakLer
RIL135	9.693308	7.556554	9.289755	10.588471	8.942272	8.594498	9.316388	9.599268	9.271444	7.727001	7.934905	9.752264	7.307527	8.382304	9.842192	10.241621	8.574681	8.158498	9.466863	peakLer
RIL136	10.002683	7.8597	9.017553	11.071021	8.486693	8.246544	9.235514	9.655798	9.432912	7.781813	8.530411	9.986724	7.392734	8.542804	9.634215	10.21257	9.001187	8.258194	9.628369	peakCvi
