phenotype	true_marker	peak_marker	max_lod	cutoff	non_missing_count	type	pos	chr	pos1	pos2	midpos	gchr	gpos1	gpos2	gposmid
X2_10620000_10625000	2_2365	2_2365	4.13234004204921	2.98324185243696	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	10620000	10625000	10622500
X2_11905000_11910000	2_2365	2_2365	3.21497313210354	2.82973214640223	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	11905000	11910000	11907500
X2_12025000_12030000	2_2365	c2.loc141	2.4118643606589	1.7950341785758	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	12025000	12030000	12027500
X2_12730000_12735000	2_2365	c2.loc141	7.94536053501815	2.70687295783037	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	12730000	12735000	12732500
X2_1425000_1430000	2_2365	c2.loc141	4.88806810953122	2.81236477133935	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	1425000	1430000	1427500
X2_14330000_14335000	2_2365	2_2365	3.80625824399094	2.58947942206935	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	14330000	14335000	14332500
X2_1550000_1555000	2_2365	2_2365	6.67120418588816	2.83688171167375	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	1550000	1555000	1552500
X2_15630000_15635000	2_2365	2_2365	1.23576850444665	1.07772505787933	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	15630000	15635000	15632500
X2_16905000_16910000	2_2365	2_2365	2.7705900263669	2.39941119653798	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	16905000	16910000	16907500
X2_16920000_16925000	2_2365	c2.loc141	7.96704377343249	2.85392633741948	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	16920000	16925000	16922500
X2_19255000_19260000	2_2365	c2.loc141	11.7529198130387	2.65430203757634	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	19255000	19260000	19257500
X2_19490000_19495000	2_2365	c2.loc141	16.6689345365088	2.69347632800914	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	19490000	19495000	19492500
X2_19530000_19535000	2_2365	c2.loc141	8.45340633470888	2.83815618629633	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	19530000	19535000	19532500
X2_19615000_19620000	2_2365	c2.loc141	5.40150527539743	2.90962236680584	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	19615000	19620000	19617500
X2_1985000_1990000	2_2365	2_2365	4.3249792097883	2.94002426101253	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	1985000	1990000	1987500
X2_2555000_2560000	2_2365	2_2365	3.03887661360779	2.84112731261114	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	2555000	2560000	2557500
X2_3810000_3815000	2_2365	c2.loc141	5.25403543322703	2.95790906526804	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	3810000	3815000	3812500
X2_7065000_7070000	2_2365	2_2365	3.46318581687947	2.8873826573198	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	7065000	7070000	7067500
X2_745000_750000	2_2365	2_2365	3.80963246840469	2.42408986756229	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	2	745000	750000	747500
X1_10235000_10240000	2_2365	2_2365	4.60633833690072	2.67919020748032	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	10235000	10240000	10237500
X1_10675000_10680000	2_2365	2_2365	1.83825604794693	1.56094335668242	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	10675000	10680000	10677500
X1_11635000_11640000	2_2365	c2.loc141	3.42179828331545	2.84632479651624	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	11635000	11640000	11637500
X1_16165000_16170000	2_2365	c2.loc141	2.99869806152561	2.74264353254183	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	16165000	16170000	16167500
X1_16755000_16760000	2_2365	c2.loc141	6.19202931293105	3.02047101603809	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	16755000	16760000	16757500
