phenotype	true_marker	peak_marker	max_lod	cutoff	non_missing_count	type	pos	chr	pos1	pos2	midpos	gchr	gpos1	gpos2	gposmid
X1_0_5000	1_17	1_17	30.0684177005949	3.23945558896154	68	Y	1-204384_1-700974	1	204384	700974	452679	1	0	5000	2500
X1_100000_105000	1_17	1_17	8.47435269746291	2.98240563501306	68	Y	1-204384_1-700974	1	204384	700974	452679	1	100000	105000	102500
X1_10005000_10010000	1_799	1_799	77.6924666138354	3.02824770894502	68	Y	1-10229048_1-10633097	1	10229048	10633097	10431072.5	1	10005000	10010000	10007500
X1_10010000_10015000	1_736	1_736	5.51155068358968	2.74114669132721	68	Y	1-9512575_1-9981570	1	9512575	9981570	9747072.5	1	10010000	10015000	10012500
X1_10015000_10020000	1_712	c1.loc72	16.7606562258379	3.1695031743387	68	Y	1-9247816_1-9726182	1	9247816	9726182	9486999	1	10015000	10020000	10017500
X1_10020000_10025000	1_782	1_782	37.1921262090286	3.07514711183661	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10020000	10025000	10022500
X1_10025000_10030000	1_782	1_782	45.454913709572	3.10908500328356	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10025000	10030000	10027500
X1_10030000_10035000	1_782	1_782	46.5930514476122	3.09216725475732	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10030000	10035000	10032500
X1_10035000_10040000	1_782	1_782	47.4012546581168	3.04206346310719	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10035000	10040000	10037500
X1_10040000_10045000	1_756	c1.loc74	32.9682846744716	3.02148393768323	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10040000	10045000	10042500
X1_1005000_1010000	1_45	c1.loc5	24.2791308032281	3.09703321555845	68	Y	1-556960_1-1146018	1	556960	1146018	851489	1	1005000	1010000	1007500
X1_10055000_10060000	1_736	c1.loc73	2.83952769042728	2.62142106485522	68	Y	1-9512575_1-9981570	1	9512575	9981570	9747072.5	1	10055000	10060000	10057500
X1_10060000_10065000	1_782	1_782	20.1652338910646	3.1812875920279	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10060000	10065000	10062500
X1_10065000_10070000	1_756	c1.loc74	44.4283931898177	3.03036184633534	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10065000	10070000	10067500
X1_10075000_10080000	1_809	1_809	12.9196967686128	2.9367608688189	68	Y	1-10360947_1-10701799	1	10360947	10701799	10531373	1	10075000	10080000	10077500
X1_10080000_10085000	1_756	c1.loc74	40.608175752247	3.16235363658386	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10080000	10085000	10082500
X1_10085000_10090000	1_756	c1.loc74	43.737649929607	2.94706363950699	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10085000	10090000	10087500
X1_10090000_10095000	1_756	c1.loc74	42.7116955768345	2.99549414111841	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10090000	10095000	10092500
X1_10095000_10100000	1_756	1_756	26.3785432904768	3.16838980370397	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10095000	10100000	10097500
X1_10100000_10105000	1_756	1_756	21.036183130153	3.00644137272073	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10100000	10105000	10102500
X1_1010000_1015000	1_56	1_56	14.1851266431642	2.87319749967819	68	Y	1-680183_1-1257430	1	680183	1257430	968806.5	1	1010000	1015000	1012500
X1_10105000_10110000	1_756	1_756	12.0575660201387	3.02621665864024	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10105000	10110000	10107500
X1_10110000_10115000	1_782	1_782	55.3347291650317	3.10312056808132	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10110000	10115000	10112500
X1_10115000_10120000	4_1759	c4.loc151	2.77022407342179	2.71040018791589	68	Y	4-12977913_4-13469662	4	12977913	13469662	13223787.5	1	10115000	10120000	10117500
X1_10120000_10125000	1_756	1_756	14.313608026204	2.97611677051135	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10120000	10125000	10122500
X1_10125000_10130000	1_756	c1.loc74	39.1364251841219	3.03031088771615	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10125000	10130000	10127500
X1_10130000_10135000	1_782	1_782	23.8602501197506	3.25264025008127	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10130000	10135000	10132500
X1_10135000_10140000	1_818	1_818	10.5097748671945	2.89203225600694	68	Y	1-10443840_1-10844820	1	10443840	10844820	10644330	1	10135000	10140000	10137500
X1_10140000_10145000	3_2290	c3.loc142	6.59602523962629	2.92368310773449	68	Y	3-21432485_3-22016918	3	21432485	22016918	21724701.5	1	10140000	10145000	10142500
X1_10150000_10155000	3_1613	c3.loc93	13.6165170560219	2.90835851772946	68	Y	3-15631799_3-15809006	3	15631799	15809006	15720402.5	1	10150000	10155000	10152500
X1_1015000_1020000	1_45	c1.loc5	27.2439204276193	3.09098072148235	68	Y	1-556960_1-1146018	1	556960	1146018	851489	1	1015000	1020000	1017500
X1_10155000_10160000	3_1207	c3.loc91	45.2086910657455	3.09802539574232	68	Y	3-12769625_3-13423859	3	12769625	13423859	13096742	1	10155000	10160000	10157500
X1_10160000_10165000	5_1923	c5.loc146	3.19746935687348	2.8966337899023	68	Y	5-16561537_5-17830127	5	16561537	17830127	17195832	1	10160000	10165000	10162500
X1_10170000_10175000	1_2655	c1.loc189	5.2121460028918	2.90249380403666	68	Y	1-24897631_1-25448206	1	24897631	25448206	25172918.5	1	10170000	10175000	10172500
X1_10175000_10180000	1_782	1_782	23.6159743607611	2.97530162362409	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10175000	10180000	10177500
X1_10180000_10185000	1_756	c1.loc74	17.9718914499648	2.931642757277	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10180000	10185000	10182500
X1_10190000_10195000	1_782	1_782	33.6584044319742	3.09084302230623	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10190000	10195000	10192500
X1_10200000_10205000	1_782	1_782	12.7590741117161	2.83012825073976	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10200000	10205000	10202500
X1_10205000_10210000	1_736	1_736	14.0036960542971	3.0288863753996	68	Y	1-9512575_1-9981570	1	9512575	9981570	9747072.5	1	10205000	10210000	10207500
X1_10210000_10215000	1_756	c1.loc74	33.9483411345599	3.12632819887957	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10210000	10215000	10212500
X1_10215000_10220000	1_756	c1.loc74	28.6100048111918	3.15042577935306	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10215000	10220000	10217500
X1_10220000_10225000	1_782	1_782	7.68244883440366	2.93020767761919	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10220000	10225000	10222500
X1_10225000_10230000	1_799	1_799	7.04111693421652	2.66134124731642	68	Y	1-10229048_1-10633097	1	10229048	10633097	10431072.5	1	10225000	10230000	10227500
X1_10235000_10240000	2_2365	2_2365	4.60633833690072	2.67919020748032	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	10235000	10240000	10237500
X1_10250000_10255000	1_782	1_782	17.42122145961	2.98334819599711	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10250000	10255000	10252500
X1_1025000_1030000	3_267	c3.loc16	3.18947013786023	2.84496614825692	68	Y	3-3327392_3-3837457	3	3327392	3837457	3582424.5	1	1025000	1030000	1027500
X1_10255000_10260000	1_782	1_782	27.249911525476	3.17083736827816	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10255000	10260000	10257500
X1_10265000_10270000	1_756	1_756	24.3305557897924	3.0322940771621	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10265000	10270000	10267500
X1_10270000_10275000	1_756	1_756	16.8231628900064	3.06603862658036	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10270000	10275000	10272500
X1_10275000_10280000	1_782	1_782	32.9688432094172	3.19983991579182	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10275000	10280000	10277500
X1_10280000_10285000	1_756	1_756	23.6266614936985	3.03547547333232	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10280000	10285000	10282500
X1_10285000_10290000	1_1716	1_1716	5.1236232509392	2.88329140118323	68	Y	1-16646656_1-16817041	1	16646656	16817041	16731848.5	1	10285000	10290000	10287500
X1_10290000_10295000	1_756	c1.loc74	27.350894372817	3.15617471779512	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10290000	10295000	10292500
X1_10295000_10300000	1_185	c1.loc20	18.9414956115472	3.07708040054417	68	Y	1-2391183_1-2969352	1	2391183	2969352	2680267.5	1	10295000	10300000	10297500
X1_10300000_10305000	1_756	c1.loc74	19.3026782289589	3.02094452931288	68	Y	1-9789195_1-10201583	1	9789195	10201583	9995389	1	10300000	10305000	10302500
X1_1030000_1035000	1_45	c1.loc5	18.1454090336984	3.1892754461189	68	Y	1-556960_1-1146018	1	556960	1146018	851489	1	1030000	1035000	1032500
X1_10310000_10315000	1_799	c1.loc75	36.7392837233433	3.07495309238953	68	Y	1-10229048_1-10633097	1	10229048	10633097	10431072.5	1	10310000	10315000	10312500
X1_10315000_10320000	1_667	c1.loc66	7.90714208215204	2.91895185903283	68	Y	1-8687060_1-9208689	1	8687060	9208689	8947874.5	1	10315000	10320000	10317500
X1_10320000_10325000	1_736	1_736	15.3193637094765	3.0672537354912	68	Y	1-9512575_1-9981570	1	9512575	9981570	9747072.5	1	10320000	10325000	10322500
X1_10325000_10330000	1_782	1_782	31.4314329022283	3.11219113026601	68	Y	1-10059761_1-10488903	1	10059761	10488903	10274332	1	10325000	10330000	10327500
